Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"AderlanRed Bull Bragantino, 31, D(R),M(R)","32AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,17,1446.0,2.6,1.5,2.5,0.1,0.8,1.6,0.4,-,6.99,"32AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,17,1446.0,-,1,0.4,1.9,0.5,0.5,0.1,0.5,1.3,6.99,"32AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,17,1446.0,1,1.9,34.8,77.7,1.6,1.9,0.1,6.99
"Pedro HenriqueAthletico Paranaense, 26, D(C)","33Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,16(1),1432.0,1.7,1.8,0.8,0.4,4.4,0.5,0.9,-,6.98,"33Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,16(1),1432.0,-,-,0.3,0.4,-,1.1,-,0.1,0.4,6.98,"33Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,16(1),1432.0,-,0.4,40.0,79.1,0.1,5.5,-,6.98
"João PauloSantos FC, 27, GK","34João PauloSantos FC, 27, GK",  ,21,1890.0,0.1,-,-,-,1.2,-,-,-,6.98,"34João PauloSantos FC, 27, GK",  ,21,1890.0,-,-,-,-,-,0.2,-,-,-,6.98,"34João PauloSantos FC, 27, GK",  ,21,1890.0,-,-,21.8,67.0,-,4.1,-,6.98
"HulkAtletico MG, 36, AM(CLR),FW","35HulkAtletico MG, 36, AM(CLR),FW",  ,17(1),1521.0,0.3,0.1,1.7,-,0.4,0.5,-,-,6.98,"35HulkAtletico MG, 36, AM(CLR),FW",  ,17(1),1521.0,7,2,3.4,1.6,2.1,2.2,0.8,2.4,3.3,6.98,"35HulkAtletico MG, 36, AM(CLR),FW",  ,17(1),1521.0,2,1.6,22.8,75.4,0.1,0.7,0.1,6.98
"DuduPalmeiras, 30, AM(CLR),FW","36DuduPalmeiras, 30, AM(CLR),FW",  ,21(1),1621.0,0.4,0.7,0.5,-,0.1,0.5,-,-,6.98,"36DuduPalmeiras, 30, AM(CLR),FW",  ,21(1),1621.0,4,3,1.7,1.9,1.5,1.7,0.2,0.7,1.5,6.98,"36DuduPalmeiras, 30, AM(CLR),FW",  ,21(1),1621.0,3,1.9,28.1,78.6,0.2,1.5,0.1,6.98
"Pedro RaúlGoias, 25, FW","37Pedro RaúlGoias, 25, FW",  ,19(1),1549.0,0.5,0.2,1.5,-,0.9,0.6,0.1,-,6.98,"37Pedro RaúlGoias, 25, FW",  ,19(1),1549.0,11,1,2.7,0.8,0.6,0.9,0.6,1.2,2.7,6.98,"37Pedro RaúlGoias, 25, FW",  ,19(1),1549.0,1,0.8,13.0,66.5,-,0.4,0.1,6.98
"JorginhoAtletico GO, 31, AM(CL)","38JorginhoAtletico GO, 31, AM(CL)",  ,18,1379.0,1.3,0.2,0.6,-,1,0.9,0.1,-,6.98,"38JorginhoAtletico GO, 31, AM(CL)",  ,18,1379.0,3,-,1.7,1.8,1.9,1.2,0.3,0.9,1.8,6.98,"38JorginhoAtletico GO, 31, AM(CL)",  ,18,1379.0,-,1.8,40.2,82.2,0.8,3.1,0.2,6.98
"GansoFluminense, 32, AM(C)","39GansoFluminense, 32, AM(C)",  ,19,1378.0,1.3,0.2,0.6,-,0.2,0.9,0.1,-,6.97,"39GansoFluminense, 32, AM(C)",  ,19,1378.0,3,3,0.7,2.1,1.1,1.6,-,0.8,0.7,6.97,"39GansoFluminense, 32, AM(C)",  ,19,1378.0,3,2.1,54.3,89.0,0.5,1.2,0.3,6.97
"Eduardo BauermannSantos FC, 26, D(C)","40Eduardo BauermannSantos FC, 26, D(C)",  ,19,1710.0,0.6,1.5,0.4,0.4,4.9,0.2,1.2,-,6.96,"40Eduardo BauermannSantos FC, 26, D(C)",  ,19,1710.0,1,1,0.6,0.1,0.3,0.6,0.1,-,0.2,6.96,"40Eduardo BauermannSantos FC, 26, D(C)",  ,19,1710.0,1,0.1,44.0,85.4,-,2.5,-,6.96
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
