Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Jhon AriasFluminense, 24, AM(CL)","27Jhon AriasFluminense, 24, AM(CL)",  ,6,461.0,1.3,0.2,1.7,-,0.3,1.2,-,-,6.97,"27Jhon AriasFluminense, 24, AM(CL)",  ,6,461.0,2,-,1.7,0.8,3,0.7,-,2.8,3.5,6.97,"27Jhon AriasFluminense, 24, AM(CL)",  ,6,461.0,-,0.8,44.3,89.8,0.5,0.2,-,6.97,"27Jhon AriasFluminense, 24, AM(CL)",  ,6,461.0,2,-,1,-,1.7,89.8,0.3,1,6.97
"Zé RafaelPalmeiras, 29, M(CLR)","28Zé RafaelPalmeiras, 29, M(CLR)",  ,10,864.0,2.5,0.9,1.3,0.1,0.7,1.3,-,-,6.97,"28Zé RafaelPalmeiras, 29, M(CLR)",  ,10,864.0,1,-,1.8,0.6,1.1,2.2,-,1.8,1.6,6.97,"28Zé RafaelPalmeiras, 29, M(CLR)",  ,10,864.0,-,0.6,39.4,87.6,-,1.7,-,6.97,"28Zé RafaelPalmeiras, 29, M(CLR)",  ,10,864.0,1,-,1,-,1.8,87.6,0.9,-,6.97
"Juninho CapixabaFortaleza, 25, D(L),M(L)","29Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10(1),905.0,2.5,1.3,1.9,0.2,2.3,1.5,0.2,-,6.97,"29Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10(1),905.0,-,1,0.4,1.5,1.2,1.3,-,1.4,1.9,6.97,"29Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10(1),905.0,1,1.5,38.3,73.6,0.6,1.5,-,6.97,"29Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10(1),905.0,-,1,3,-,0.4,73.6,2.7,-,6.97
"WalterCuiaba, 34, GK","30WalterCuiaba, 34, GK",  ,10,900.0,0.1,0.1,-,-,1.7,-,-,-,6.96,"30WalterCuiaba, 34, GK",  ,10,900.0,-,-,-,-,-,0.2,-,-,-,6.96,"30WalterCuiaba, 34, GK",  ,10,900.0,-,-,24.9,67.1,-,7.5,-,6.96,"30WalterCuiaba, 34, GK",  ,10,900.0,-,-,-,-,-,67.1,0.3,1,6.96
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DuduPalmeiras, 30, AM(CLR),FW","31DuduPalmeiras, 30, AM(CLR),FW",  ,10(1),802.0,0.5,0.9,0.6,-,0.3,0.3,0.1,-,6.96,"31DuduPalmeiras, 30, AM(CLR),FW",  ,10(1),802.0,2,1,1.6,2.1,1.5,1.6,0.3,0.6,1.6,6.96,"31DuduPalmeiras, 30, AM(CLR),FW",  ,10(1),802.0,1,2.1,31.1,81.3,0.1,1.4,-,6.96,"31DuduPalmeiras, 30, AM(CLR),FW",  ,10(1),802.0,2,1,1,-,1.6,81.3,0.2,1,6.96
"Vitor RoqueAthletico Paranaense, 17, FW","32Vitor RoqueAthletico Paranaense, 17, FW",  ,4(4),393.0,0.8,0.6,0.6,-,-,-,-,-,6.95,"32Vitor RoqueAthletico Paranaense, 17, FW",  ,4(4),393.0,4,1,1.8,0.4,1,2.3,0.1,0.8,2.1,6.95,"32Vitor RoqueAthletico Paranaense, 17, FW",  ,4(4),393.0,1,0.4,4.5,63.9,-,0.1,-,6.95,"32Vitor RoqueAthletico Paranaense, 17, FW",  ,4(4),393.0,4,1,1,-,1.8,63.9,1,1,6.95
"MarllonCuiaba, 30, D(C)","33MarllonCuiaba, 30, D(C)",  ,11,990.0,2.3,1.6,0.9,0.5,4.9,0.3,1,-,6.95,"33MarllonCuiaba, 30, D(C)",  ,11,990.0,-,-,0.7,0.1,0.4,0.3,0.1,0.4,0.5,6.95,"33MarllonCuiaba, 30, D(C)",  ,11,990.0,-,0.1,37.2,85.6,-,2.5,-,6.95,"33MarllonCuiaba, 30, D(C)",  ,11,990.0,-,-,2,-,0.7,85.6,2.3,1,6.95
"VitãoInternacional, 22, D(C)","34VitãoInternacional, 22, D(C)",  ,8,720.0,1.8,0.3,0.5,0.8,5.1,0.5,1,-,6.94,"34VitãoInternacional, 22, D(C)",  ,8,720.0,1,-,0.5,-,-,0.3,-,0.1,-,6.94,"34VitãoInternacional, 22, D(C)",  ,8,720.0,-,-,42.4,82.3,-,2,-,6.94,"34VitãoInternacional, 22, D(C)",  ,8,720.0,1,-,-,-,0.5,82.3,2.3,2,6.94
"Carlos de PenaInternacional, 30, AM(CL)","35Carlos de PenaInternacional, 30, AM(CL)",  ,6(3),620.0,0.9,0.9,1.1,-,1,0.6,-,-,6.93,"35Carlos de PenaInternacional, 30, AM(CL)",  ,6(3),620.0,2,2,2.3,1.6,0.4,0.7,-,0.7,0.9,6.93,"35Carlos de PenaInternacional, 30, AM(CL)",  ,6(3),620.0,2,1.6,36.6,73.9,1,1.6,-,6.93,"35Carlos de PenaInternacional, 30, AM(CL)",  ,6(3),620.0,2,2,3,-,2.3,73.9,1,1,6.93
