,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
289,  ,7(4),547.0,0.5,0.1,0.9,-,0.1,0.9,0.1,-,6.36,"AdemirAtletico MG, 27, AM(CR)",  ,3(9),369.0,0.4,0.2,0.5,-,0.2,1.1,-,-,6.44,"Bruno OliveiraSantos FC, 24, Midfielder",  ,0(6),211.0,-,-,1.8,1,0.7,0.2,-,0.3,1,6.44,"VitinhoFlamengo, 28, AM(CLR),FW",  ,7(4),547.0,-,-,1,0.7,1.4,1.5,0.4,0.7,2.1,6.36,"AdemirAtletico MG, 27, AM(CR)",  ,3(9),369.0,-,1,0.8,1.1,0.3,1.1,-,0.3,0.8,6.44,"Bruno OliveiraSantos FC, 24, Midfielder",  ,0(6),211.0,-,1,15.2,86.8,0.2,0.3,0.2,6.44,"VitinhoFlamengo, 28, AM(CLR),FW",  ,7(4),547.0,-,0.7,11.8,79.2,-,0.2,0.1,6.36,"AdemirAtletico MG, 27, AM(CR)"
290,  ,4(1),284.0,1.2,1,1.4,-,0.6,0.8,0.2,-,6.36,"MayconCorinthians, 25, M(C)",  ,4(8),490.0,0.3,0.3,0.9,-,0.1,0.1,-,-,6.44,"Zé RobertoCeara, 28, FW",  ,9(2),775.0,2,-,2.2,0.7,1.1,1.5,0.5,1.1,2.9,6.44,"ErisonBotafogo RJ, 23, FW",  ,4(1),284.0,-,-,0.4,1,0.2,0.4,-,-,0.4,6.36,"MayconCorinthians, 25, M(C)",  ,4(8),490.0,-,1,0.9,0.7,0.7,1.3,0.2,0.8,1,6.44,"Zé RobertoCeara, 28, FW",  ,9(2),775.0,-,0.7,7.9,71.3,-,-,0.1,6.44,"ErisonBotafogo RJ, 23, FW",  ,4(1),284.0,-,1,27.8,87.8,0.8,1.4,-,6.36,"MayconCorinthians, 25, M(C)"
291,  ,4(6),313.0,0.7,0.3,0.2,-,0.1,0.3,0.1,-,6.36,"MaurícioInternacional, 21, AM(CR)",  ,14(5),1274.0,0.3,0.2,0.7,-,0.2,0.1,0.1,-,6.43,"Isidro PittaJuventude, 23, FW",  ,6,451.0,-,-,-,-,-,0.2,-,-,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,4(6),313.0,-,1,0.5,0.5,0.4,0.5,-,0.2,0.4,6.36,"MaurícioInternacional, 21, AM(CR)",  ,14(5),1274.0,2,-,1.6,0.3,0.8,1.4,0.5,0.5,1.8,6.43,"Isidro PittaJuventude, 23, FW",  ,6,451.0,-,-,13.8,78.3,-,2.2,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,4(6),313.0,1,0.5,13.1,73.3,0.1,0.6,-,6.36,"MaurícioInternacional, 21, AM(CR)"
292,  ,4(5),405.0,1,0.4,0.9,-,-,1.3,0.1,-,6.35,"AirtonAtletico GO, 23, AM(R)",  ,5(5),477.0,1.6,1.3,1.1,-,0.5,0.6,0.2,-,6.43,"Bernardo LemesCoritiba, 20, DMC",  ,6(2),517.0,1,-,1.6,0.4,0.5,0.3,-,0.4,0.9,6.43,"Gabriel BaralhasAtletico GO, 23, DMC",  ,4(5),405.0,-,1,1.1,0.2,0.9,0.4,-,0.7,0.9,6.35,"AirtonAtletico GO, 23, AM(R)",  ,5(5),477.0,-,-,0.3,0.3,0.4,0.9,-,0.4,1.1,6.43,"Bernardo LemesCoritiba, 20, DMC",  ,6(2),517.0,-,0.4,35.1,86.5,-,2.5,-,6.43,"Gabriel BaralhasAtletico GO, 23, DMC",  ,4(5),405.0,1,0.2,8.7,74.4,0.2,-,0.1,6.35,"AirtonAtletico GO, 23, AM(R)"
293,  ,6(5),522.0,0.5,0.5,1.3,-,0.3,0.6,-,-,6.35,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(7),479.0,0.8,0.1,1.2,-,0.5,0.5,0.1,-,6.43,"VitinhoFlamengo, 28, AM(CLR),FW",  ,4(4),399.0,-,-,0.6,0.8,0.4,0.8,-,0.1,1.3,6.43,"MaguinhoGoias, 30, D(R)",  ,6(5),522.0,-,1,1.3,1.1,1,0.8,0.1,0.8,1.8,6.35,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,4(7),479.0,-,-,1.4,0.6,1,0.5,-,0.5,0.8,6.43,"VitinhoFlamengo, 28, AM(CLR),FW",  ,4(4),399.0,-,0.8,13.6,81.7,0.4,-,-,6.43,"MaguinhoGoias, 30, D(R)",  ,6(5),522.0,1,1.1,19.6,74.5,0.4,1.1,-,6.35,"HelinhoRed Bull Bragantino, 22, AM(LR)"
294,  ,4(1),292.0,2.2,0.6,1.8,0.2,0.2,0.6,0.2,-,6.35,"LizieroInternacional, 24, DMC",  ,12,902.0,0.1,0.1,-,-,0.8,0.1,-,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,5,450.0,-,-,-,-,-,0.4,-,-,-,6.43,"Douglas FriedrichAvai FC, 33, GK",  ,4(1),292.0,-,-,-,0.6,0.4,1,-,0.8,1.4,6.35,"LizieroInternacional, 24, DMC",  ,12,902.0,-,-,-,-,-,0.1,-,-,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,5,450.0,-,-,19.8,69.7,-,3.4,-,6.43,"Douglas FriedrichAvai FC, 33, GK",  ,4(1),292.0,-,0.6,31.4,88.5,0.4,1.2,-,6.35,"LizieroInternacional, 24, DMC"
295,  ,9(1),768.0,0.5,0.2,0.7,0.2,2.4,0.3,0.1,-,6.35,"Rodrigo SoaresJuventude, 29, D(R),M(R)",,,,,,,,,,,,,Erro:502,  ,3(3),304.0,-,1,-,0.7,0.3,0.2,-,0.3,1.2,6.43,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,9(1),768.0,1,-,0.6,0.5,0.8,0.3,-,0.4,0.8,6.35,"Rodrigo SoaresJuventude, 29, D(R),M(R)",,,,,,,,,,,,,,Erro:502,  ,3(3),304.0,1,0.7,22.8,81.8,0.8,0.5,-,6.43,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,9(1),768.0,-,0.5,33.7,86.1,0.6,1.7,-,6.35,"Rodrigo SoaresJuventude, 29, D(R),M(R)"
296,  ,9,698.0,1,1.1,1.3,-,0.8,1.7,-,-,6.34,"Vinícius ZanoceloSantos FC, 21, DMC",,,,,,,,,,,,,Erro:502,  ,2(4),252.0,1,-,1.5,0.2,0.7,1.3,-,0.7,2.3,6.43,"HugoCoritiba, 22, Forward",  ,9,698.0,-,-,1.6,0.7,0.2,0.8,0.2,0.6,0.6,6.34,"Vinícius ZanoceloSantos FC, 21, DMC",,,,,,,,,,,,,,Erro:502,  ,2(4),252.0,-,0.2,9.0,70.4,0.2,0.2,-,6.43,"HugoCoritiba, 22, Forward",  ,9,698.0,-,0.7,37.8,87.1,-,1.7,-,6.34,"Vinícius ZanoceloSantos FC, 21, DMC"
297,  ,9(1),685.0,1.1,0.3,1,0.1,0.3,0.9,0.1,-,6.34,"Felipe AzevedoAmerica MG, 35, AM(CLR),FW",  ,5(6),464.0,0.5,0.1,1,-,0.1,0.5,-,-,6.43,"Iury CastilhoCeara, 26, FW",  ,5,344.0,-,-,0.4,0.6,0.2,0.4,-,0.2,0.2,6.43,"Luan PatrickAmerica MG, 20, D(C)",  ,9(1),685.0,1,-,1.5,1.1,1.2,0.7,0.1,1,2.7,6.34,"Felipe AzevedoAmerica MG, 35, AM(CLR),FW",  ,5(6),464.0,-,1,0.4,0.4,1.5,1.9,0.5,1,1.2,6.43,"Iury CastilhoCeara, 26, FW",  ,5,344.0,-,0.6,30.8,82.5,-,3,-,6.43,"Luan PatrickAmerica MG, 20, D(C)",  ,9(1),685.0,-,1.1,24.0,72.5,0.1,1,0.1,6.34,"Felipe AzevedoAmerica MG, 35, AM(CLR),FW"
298,  ,4(3),323.0,0.9,-,1.4,0.1,0.4,0.7,-,-,6.34,"Henrique AlmeidaAmerica MG, 31, AM(LR),FW",  ,10(8),945.0,1.3,0.8,1.2,0.2,1.7,0.4,0.3,-,6.43,"MaguinhoGoias, 30, D(R)",,,,,,,,,,,,,,Erro:502,  ,4(3),323.0,-,-,0.6,0.3,1,0.6,0.3,1,1.6,6.34,"Henrique AlmeidaAmerica MG, 31, AM(LR),FW",  ,10(8),945.0,-,-,0.6,0.6,0.6,0.5,0.1,0.2,1.2,6.43,"MaguinhoGoias, 30, D(R)",,,,,,,,,,,,Erro:502,  ,4(3),323.0,-,0.3,11.7,78.0,0.1,0.3,0.1,6.34,"Henrique AlmeidaAmerica MG, 31, AM(LR),FW"
299,  ,2(3),207.0,1,0.2,0.8,-,0.8,0.4,0.2,-,6.33,"MartinelliFluminense, 20, DMC",  ,18(2),1612.0,0.8,1.2,1.4,0.3,1.9,0.4,0.5,-,6.42,"TitiFortaleza, 34, D(C)",  ,9,810.0,-,-,-,-,-,0.1,-,-,-,6.42,"RonaldoAtletico GO, 25, GK",  ,2(3),207.0,-,-,0.2,-,1,0.2,-,0.8,1,6.33,"MartinelliFluminense, 20, DMC",  ,18(2),1612.0,-,-,0.2,0.1,0.2,1,0.1,0.1,0.7,6.42,"TitiFortaleza, 34, D(C)",  ,9,810.0,-,-,20.2,82.4,-,4.4,-,6.42,"RonaldoAtletico GO, 25, GK",  ,2(3),207.0,-,-,42.8,92.1,-,0.8,-,6.33,"MartinelliFluminense, 20, DMC"
300,  ,5(4),460.0,0.8,0.6,0.3,-,0.4,1,0.1,-,6.33,"GiulianoCorinthians, 32, AM(CLR),FW",  ,15(3),1242.0,1.7,0.9,1.3,0.1,0.7,1.5,0.2,-,6.42,"Gabriel BaralhasAtletico GO, 23, DMC",  ,2(3),178.0,-,-,0.8,0.4,1,0.6,-,0.8,-,6.42,"Fernando SobralCeara, 27, M(CLR)",  ,5(4),460.0,-,-,0.6,0.7,0.8,0.3,0.1,1,0.8,6.33,"GiulianoCorinthians, 32, AM(CLR),FW",  ,15(3),1242.0,1,1,1.2,0.4,0.6,0.6,-,0.2,0.8,6.42,"Gabriel BaralhasAtletico GO, 23, DMC",  ,2(3),178.0,-,0.4,27.6,85.5,-,1.6,-,6.42,"Fernando SobralCeara, 27, M(CLR)",  ,5(4),460.0,-,0.7,31.9,89.2,-,0.4,-,6.33,"GiulianoCorinthians, 32, AM(CLR),FW"
301,  ,5(3),487.0,1.6,0.3,0.8,-,0.5,0.9,0.1,-,6.33,"CapixabaJuventude, 25, AM(LR)",  ,11,941.0,-,-,0.1,-,1.9,0.1,-,-,6.42,"Douglas FriedrichAvai FC, 33, GK",  ,0(8),175.0,1,-,0.9,0.8,0.6,0.3,0.3,0.5,0.5,6.42,"Eduard AtuestaPalmeiras, 25, DMC",  ,5(3),487.0,-,-,0.6,0.4,0.5,1.6,-,0.5,0.9,6.33,"CapixabaJuventude, 25, AM(LR)",  ,11,941.0,-,-,-,-,-,0.2,-,-,-,6.42,"Douglas FriedrichAvai FC, 33, GK",  ,0(8),175.0,-,0.8,11.0,79.5,0.4,0.6,-,6.42,"Eduard AtuestaPalmeiras, 25, DMC",  ,5(3),487.0,-,0.4,10.1,71.6,0.3,0.3,-,6.33,"CapixabaJuventude, 25, AM(LR)"
302,  ,9(1),843.0,0.8,1.1,1.3,0.3,2.2,0.3,0.5,-,6.33,"TitiFortaleza, 34, D(C)",  ,6(6),615.0,2,0.6,1.3,-,0.3,1.4,0.5,-,6.42,"CamachoSantos FC, 32, DMC",  ,6,540.0,-,-,-,-,-,0.3,-,-,0.2,6.41,"Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,9(1),843.0,-,-,0.1,-,0.1,1.1,0.1,0.1,0.9,6.33,"TitiFortaleza, 34, D(C)",  ,6(6),615.0,-,-,0.2,0.6,0.2,0.3,-,0.3,0.1,6.42,"CamachoSantos FC, 32, DMC",  ,6,540.0,-,-,39.2,87.2,-,4.5,-,6.41,"Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,9(1),843.0,-,-,34.3,81.6,-,2.9,-,6.33,"TitiFortaleza, 34, D(C)"
303,  ,4(1),344.0,0.2,0.4,1.2,0.2,2,0.2,0.2,-,6.32,"Bruno MeloCorinthians, 29, D(L),M(L)",  ,9(6),753.0,0.7,0.1,1.2,0.1,0.3,0.6,-,-,6.41,"Henrique AlmeidaAmerica MG, 31, AM(LR),FW",  ,3(3),294.0,-,-,1,-,0.8,0.2,0.2,1,0.5,6.41,"Bruno TubarãoRed Bull Bragantino, 27, AM(LR)",  ,4(1),344.0,-,-,0.4,0.2,-,0.8,0.4,-,0.2,6.32,"Bruno MeloCorinthians, 29, D(L),M(L)",  ,9(6),753.0,2,-,1.7,0.2,1,0.4,0.5,1.3,1.5,6.41,"Henrique AlmeidaAmerica MG, 31, AM(LR),FW",  ,3(3),294.0,-,-,16.0,76.0,0.3,0.3,-,6.41,"Bruno TubarãoRed Bull Bragantino, 27, AM(LR)",  ,4(1),344.0,-,0.2,34.0,84.1,0.2,0.8,-,6.32,"Bruno MeloCorinthians, 29, D(L),M(L)"
304,  ,5,362.0,1.4,0.4,0.4,-,0.4,-,-,-,6.32,"Tchê TchêBotafogo RJ, 29, M(CR)",  ,14(3),1078.0,1.7,0.6,2.2,0.1,0.5,1.1,0.1,-,6.41,"RichardsonCeara, 30, DMC",  ,6(3),538.0,-,-,0.7,0.1,0.3,1,0.1,0.6,1.1,6.41,"Caio ViníciusGoias, 23, M(C)",  ,5,362.0,-,-,0.6,0.4,0.4,1.6,-,-,0.8,6.32,"Tchê TchêBotafogo RJ, 29, M(CR)",  ,14(3),1078.0,-,-,0.4,0.4,0.7,1.2,-,0.4,0.6,6.41,"RichardsonCeara, 30, DMC",  ,6(3),538.0,-,0.1,17.3,78.2,0.1,0.4,-,6.41,"Caio ViníciusGoias, 23, M(C)",  ,5,362.0,-,0.4,42.8,93.0,-,1.8,-,6.32,"Tchê TchêBotafogo RJ, 29, M(CR)"
305,  ,2(4),201.0,0.8,0.3,-,-,0.7,0.2,0.3,-,6.32,"Edson FernandoAtletico GO, 24, DMC",  ,3(8),452.0,1.9,0.5,1.3,0.1,0.7,1.6,0.1,-,6.41,"RomildoBotafogo RJ, 22, Midfielder",  ,4(5),311.0,1,-,1.2,0.7,0.3,0.7,-,0.2,0.9,6.41,"Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,2(4),201.0,-,-,-,-,0.5,1.2,-,-,0.5,6.32,"Edson FernandoAtletico GO, 24, DMC",  ,3(8),452.0,-,-,0.6,0.5,0.2,1.3,-,0.8,0.5,6.41,"RomildoBotafogo RJ, 22, Midfielder",  ,4(5),311.0,-,0.7,10.6,80.0,-,0.2,-,6.41,"Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,2(4),201.0,-,-,14.3,89.5,-,0.8,-,6.32,"Edson FernandoAtletico GO, 24, DMC"
306,  ,4(1),313.0,0.2,0.8,0.8,1.2,5,0.4,0.4,1,6.32,"Luccas ClaroFluminense, 30, D(C)",  ,10(8),960.0,1.1,0.4,1.2,0.1,0.9,0.8,0.1,-,6.39,"Pablo MaiaSao Paulo, 20, DMC",  ,3(6),368.0,-,1,0.8,1,0.3,0.4,0.1,0.4,0.8,6.4,"GiulianoCorinthians, 32, AM(CLR),FW",  ,4(1),313.0,-,-,0.2,-,-,1.2,-,0.2,0.2,6.32,"Luccas ClaroFluminense, 30, D(C)",  ,10(8),960.0,-,-,0.8,0.1,0.3,0.5,-,0.1,0.6,6.39,"Pablo MaiaSao Paulo, 20, DMC",  ,3(6),368.0,1,1,24.7,90.1,-,0.6,-,6.4,"GiulianoCorinthians, 32, AM(CLR),FW",  ,4(1),313.0,-,-,30.6,73.2,-,1.4,-,6.32,"Luccas ClaroFluminense, 30, D(C)"
307,  ,3(3),256.0,0.8,0.2,1.5,-,0.2,1,0.3,-,6.32,"MoratoAvai FC, 29, AM(LR)",,,,,,,,,,,,,Erro:502,  ,3(2),215.0,-,-,2.2,0.8,0.6,0.2,-,-,0.6,6.4,"Danilo AvelarAmerica MG, 33, D(CL),M(L)",  ,3(3),256.0,1,-,0.8,0.5,0.8,1.2,0.3,1.3,2.5,6.32,"MoratoAvai FC, 29, AM(LR)",,,,,,,,,,,,,,Erro:502,  ,3(2),215.0,-,0.8,22.0,78.2,0.6,1.4,-,6.4,"Danilo AvelarAmerica MG, 33, D(CL),M(L)",  ,3(3),256.0,-,0.5,11.3,80.9,0.2,0.7,0.2,6.32,"MoratoAvai FC, 29, AM(LR)"
308,  ,2(4),196.0,0.5,0.2,1,-,0.3,0.3,-,-,6.31,"Juan RamírezAmerica MG, 24, AM(C)",  ,13(4),1055.0,1.6,1,1.8,-,1.1,1.2,0.1,-,6.39,"Caio ViníciusGoias, 23, M(C)",  ,2(4),204.0,1,1,1.2,0.3,0.2,0.3,0.3,0.5,0.3,6.39,"Bryan AnguloSantos FC, 26, Forward",  ,2(4),196.0,-,1,0.5,0.8,1,0.8,0.2,0.7,1.5,6.31,"Juan RamírezAmerica MG, 24, AM(C)",  ,13(4),1055.0,-,-,0.6,0.2,0.6,1.1,0.1,0.6,1,6.39,"Caio ViníciusGoias, 23, M(C)",  ,2(4),204.0,1,0.3,8.8,77.4,-,0.7,0.2,6.39,"Bryan AnguloSantos FC, 26, Forward",  ,2(4),196.0,1,0.8,12.5,80.0,-,0.3,-,6.31,"Juan RamírezAmerica MG, 24, AM(C)"
309,  ,4(4),331.0,0.9,0.6,1.1,-,-,0.4,-,-,6.31,"MarinhoFlamengo, 32, AM(CLR),FW",  ,6(8),664.0,0.5,0.6,0.9,-,1.2,0.6,0.1,-,6.38,"Victor LuisCeara, 29, D(L),M(CL)",  ,7(2),553.0,-,-,0.9,0.6,0.7,0.2,-,0.4,0.8,6.39,"YuriJuventude, 28, D(C),DMC",  ,4(4),331.0,-,-,1.3,0.3,0.8,2.4,-,0.5,2,6.31,"MarinhoFlamengo, 32, AM(CLR),FW",  ,6(8),664.0,-,-,0.9,0.5,0.1,0.9,-,0.4,0.6,6.38,"Victor LuisCeara, 29, D(L),M(CL)",  ,7(2),553.0,-,0.6,40.2,84.0,0.1,1.7,0.2,6.39,"YuriJuventude, 28, D(C),DMC",  ,4(4),331.0,-,0.3,12.8,83.3,0.3,0.3,-,6.31,"MarinhoFlamengo, 32, AM(CLR),FW"
310,  ,2(3),167.0,1,0.8,0.4,-,0.6,0.2,-,-,6.3,"Bernardo LemesCoritiba, 20, DMC",  ,6(6),580.0,1.1,0.4,0.8,-,0.1,0.8,-,-,6.38,"ChayBotafogo RJ, 31, Forward",  ,4(5),458.0,1,-,2.3,0.7,0.7,1,0.4,1.2,1.8,6.39,"RodriguinhoCuiaba, 34, M(CL),FW",  ,2(3),167.0,-,-,0.4,0.2,0.6,0.8,-,0.4,0.4,6.3,"Bernardo LemesCoritiba, 20, DMC",  ,6(6),580.0,-,-,1.1,0.6,1.2,1.5,-,1.4,1.4,6.38,"ChayBotafogo RJ, 31, Forward",  ,4(5),458.0,-,0.7,12.9,75.9,-,0.7,0.1,6.39,"RodriguinhoCuiaba, 34, M(CL),FW",  ,2(3),167.0,-,0.2,17.8,87.6,-,0.6,-,6.3,"Bernardo LemesCoritiba, 20, DMC"
311,  ,10,789.0,1.9,1,1.5,-,0.5,0.7,0.4,-,6.3,"JádsonJuventude, 28, M(CR)",  ,7(3),570.0,1,0.6,0.8,0.2,1,0.3,0.5,-,6.38,"Yago FelipeFluminense, 27, M(CLR)",  ,3(6),344.0,1,-,2,1.1,0.6,0.9,0.2,0.2,1.6,6.38,"RobsonFortaleza, 31, AM(LR),FW",  ,10,789.0,-,-,0.4,0.6,0.6,1.7,-,0.7,1.2,6.3,"JádsonJuventude, 28, M(CR)",  ,7(3),570.0,-,-,0.7,0.3,0.3,1.6,0.1,0.7,1.4,6.38,"Yago FelipeFluminense, 27, M(CLR)",  ,3(6),344.0,-,1.1,9.7,65.5,0.1,0.7,-,6.38,"RobsonFortaleza, 31, AM(LR),FW",  ,10,789.0,-,0.6,34.8,82.8,-,3.8,0.1,6.3,"JádsonJuventude, 28, M(CR)"
312,  ,2(7),323.0,1,0.3,0.4,-,0.6,1,0.1,-,6.3,"OtávioAtletico MG, 28, DMC",  ,2(9),322.0,0.5,0.2,0.8,-,0.2,0.2,-,-,6.37,"Juan RamírezAmerica MG, 24, AM(C)",  ,2(6),292.0,-,-,1.3,-,0.3,1.3,0.4,1,1.8,6.38,"Vitor RoqueAthletico Paranaense, 17, FW",  ,2(7),323.0,-,-,0.2,-,0.3,0.2,-,-,0.2,6.3,"OtávioAtletico MG, 28, DMC",  ,2(9),322.0,1,1,0.9,0.5,1,0.9,0.1,0.7,1,6.37,"Juan RamírezAmerica MG, 24, AM(C)",  ,2(6),292.0,-,-,4.5,63.9,0.1,0.1,-,6.38,"Vitor RoqueAthletico Paranaense, 17, FW",  ,2(7),323.0,-,-,24.4,88.2,0.1,0.7,-,6.3,"OtávioAtletico MG, 28, DMC"
313,  ,1(7),143.0,0.6,-,0.1,-,-,0.1,-,-,6.3,"Breno LopesPalmeiras, 26, AM(R)",  ,8(10),828.0,0.6,0.3,0.3,-,0.5,0.8,0.1,-,6.37,"GiulianoCorinthians, 32, AM(CLR),FW",  ,8(3),721.0,1,-,1.9,0.2,0.5,1.5,0.6,0.6,1.9,6.38,"Isidro PittaJuventude, 23, FW",  ,1(7),143.0,-,-,0.6,0.4,-,0.8,-,-,0.5,6.3,"Breno LopesPalmeiras, 26, AM(R)",  ,8(10),828.0,-,1,0.7,0.8,0.6,0.4,0.1,0.7,0.8,6.37,"GiulianoCorinthians, 32, AM(CLR),FW",  ,8(3),721.0,-,0.2,12.5,68.6,0.1,0.2,-,6.38,"Isidro PittaJuventude, 23, FW",  ,1(7),143.0,-,0.4,6.4,74.5,0.1,0.5,-,6.3,"Breno LopesPalmeiras, 26, AM(R)"
314,  ,3(2),253.0,1.6,0.8,1.2,0.2,1,0.2,-,-,6.3,"Guilherme BiroCoritiba, 22, D(L)",  ,6(11),744.0,1.3,0.6,0.9,-,0.4,0.6,0.1,-,6.36,"OtávioAtletico MG, 28, DMC",  ,2(3),155.0,-,-,0.4,0.2,-,-,-,0.2,0.4,6.37,"AuremirGoias, 30, D(R),DMC",  ,3(2),253.0,-,-,-,0.2,0.2,0.4,-,0.4,0.6,6.3,"Guilherme BiroCoritiba, 22, D(L)",  ,6(11),744.0,-,-,0.2,0.2,0.2,0.2,-,0.1,0.3,6.36,"OtávioAtletico MG, 28, DMC",  ,2(3),155.0,-,0.2,18.4,82.6,-,0.4,-,6.37,"AuremirGoias, 30, D(R),DMC",  ,3(2),253.0,-,0.2,23.4,88.0,0.2,1.2,-,6.3,"Guilherme BiroCoritiba, 22, D(L)"
315,  ,2(6),307.0,0.6,0.1,0.8,-,0.8,0.5,-,-,6.29,"Léo CittadiniAthletico Paranaense, 28, M(CLR)",  ,7(4),616.0,1.4,0.2,0.5,-,1,0.4,-,-,6.36,"Lucas PiazónBotafogo RJ, 28, AM(CLR),FW",  ,9,810.0,-,-,-,-,-,0.1,-,-,0.1,6.37,"João RicardoCeara, 33, GK",  ,2(6),307.0,-,1,0.8,0.3,0.1,0.9,-,0.3,0.5,6.29,"Léo CittadiniAthletico Paranaense, 28, M(CLR)",  ,7(4),616.0,-,-,0.5,1.2,0.5,0.3,0.1,0.3,1.1,6.36,"Lucas PiazónBotafogo RJ, 28, AM(CLR),FW",  ,9,810.0,-,-,24.1,75.1,-,5.7,-,6.37,"João RicardoCeara, 33, GK",  ,2(6),307.0,1,0.3,13.6,78.9,-,0.5,-,6.29,"Léo CittadiniAthletico Paranaense, 28, M(CLR)"
316,  ,4(2),283.0,0.3,-,1.2,-,0.5,0.5,-,-,6.29,"AndréCuiaba, 31, FW",  ,8(10),762.0,0.8,0.2,0.7,-,0.3,0.6,0.2,-,6.36,"André LuisCuiaba, 25, AM(CR),FW",  ,8(1),556.0,-,-,0.3,0.3,0.8,1.6,-,0.4,0.1,6.37,"RichardsonCeara, 30, DMC",  ,4(2),283.0,1,-,0.5,-,0.3,1.5,0.2,0.3,1.8,6.29,"AndréCuiaba, 31, FW",  ,8(10),762.0,1,-,0.5,0.5,0.7,1.5,-,0.5,1.3,6.36,"André LuisCuiaba, 25, AM(CR),FW",  ,8(1),556.0,-,0.3,31.3,85.5,-,2.8,-,6.37,"RichardsonCeara, 30, DMC",  ,4(2),283.0,-,-,9.5,66.7,-,-,-,6.29,"AndréCuiaba, 31, FW"
317,,,,,,,,,,,,,Erro:502,  ,8(3),622.0,0.4,0.1,1.7,0.1,0.3,0.6,-,-,6.35,"Luo GuofuAmerica MG, 34, AM(LR),FW",  ,2(5),166.0,-,-,0.1,0.6,1,0.3,-,0.6,1,6.37,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",,,,,,,,,,,,,,Erro:502,  ,8(3),622.0,2,-,2,0.5,0.4,1,0.8,0.9,1.8,6.35,"Luo GuofuAmerica MG, 34, AM(LR),FW",  ,2(5),166.0,-,0.6,17.6,82.9,0.4,0.4,-,6.37,"Arthur HenriqueAtletico GO, 28, D(L),M(L)",,,,,,,,,,,,Erro:502
318,  ,3(6),325.0,0.7,-,1.4,-,-,0.2,-,-,6.29,"Rafael NavarroPalmeiras, 22, FW",  ,9(2),633.0,0.9,0.6,0.8,0.1,0.9,0.5,0.5,-,6.35,"WellingtonFluminense, 31, DMC",,,,,,,,,,,,,,Erro:502,  ,3(6),325.0,-,1,0.9,0.3,0.6,0.7,0.2,0.7,2.1,6.29,"Rafael NavarroPalmeiras, 22, FW",  ,9(2),633.0,-,1,-,0.6,0.2,0.5,-,0.3,1,6.35,"WellingtonFluminense, 31, DMC",,,,,,,,,,,,Erro:502,  ,3(6),325.0,1,0.3,4.9,61.4,-,0.1,0.1,6.29,"Rafael NavarroPalmeiras, 22, FW"
319,  ,7,626.0,1,2,0.6,0.3,3.6,-,1.7,1,6.29,"HenriqueCoritiba, 35, D(CR)",  ,9(5),807.0,1.4,0.2,0.9,-,0.6,0.8,0.1,-,6.34,"CapixabaJuventude, 25, AM(LR)",  ,3(4),339.0,-,-,0.9,0.6,0.1,0.9,-,0.3,0.6,6.37,"Victor LuisCeara, 29, D(L),M(CL)",  ,7,626.0,-,-,0.4,0.3,-,0.1,-,-,-,6.29,"HenriqueCoritiba, 35, D(CR)",  ,9(5),807.0,-,-,0.9,0.6,0.8,1.4,-,0.9,1.6,6.34,"CapixabaJuventude, 25, AM(LR)",  ,3(4),339.0,-,0.6,30.1,84.8,0.3,1.6,-,6.37,"Victor LuisCeara, 29, D(L),M(CL)",  ,7,626.0,-,0.3,46.0,90.1,-,4.7,-,6.29,"HenriqueCoritiba, 35, D(CR)"
