Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"RodineiFlamengo, 30, D(R)","31RodineiFlamengo, 30, D(R)",  ,3(2),280.0,2.6,1.2,0.2,-,0.4,0.2,0.2,-,7.17,"31RodineiFlamengo, 30, D(R)",  ,3(2),280.0,-,1,0.6,1,2,0.2,-,0.6,1.2,7.17,"31RodineiFlamengo, 30, D(R)",  ,3(2),280.0,1,1,26.8,84.3,0.6,-,-,7.17,"31RodineiFlamengo, 30, D(R)",  ,3(2),280.0,-,1,-,-,0.6,84.3,0.4,-,7.17
"AdsonCorinthians, 21, AM(LR)","32AdsonCorinthians, 21, AM(LR)",  ,5(5),563.0,2,0.7,0.8,-,0.5,0.3,-,-,7.17,"32AdsonCorinthians, 21, AM(LR)",  ,5(5),563.0,3,-,1.2,0.7,2.2,1.3,-,0.8,2.5,7.17,"32AdsonCorinthians, 21, AM(LR)",  ,5(5),563.0,-,0.7,31.3,83.7,0.2,0.2,0.1,7.17,"32AdsonCorinthians, 21, AM(LR)",  ,5(5),563.0,3,-,1,-,1.2,83.7,0.5,-,7.17
"Gustavo GómezPalmeiras, 29, D(C)","33Gustavo GómezPalmeiras, 29, D(C)",  ,9,810.0,0.9,1.1,1.1,0.1,3.1,0.6,0.8,-,7.17,"33Gustavo GómezPalmeiras, 29, D(C)",  ,9,810.0,5,-,1.3,0.1,-,0.4,0.2,-,0.1,7.17,"33Gustavo GómezPalmeiras, 29, D(C)",  ,9,810.0,-,0.1,50.0,86.0,-,3.7,-,7.17,"33Gustavo GómezPalmeiras, 29, D(C)",  ,9,810.0,5,-,5,-,1.3,86.0,3.4,1,7.17
"Víctor CuestaBotafogo RJ, 33, D(C)","34Víctor CuestaBotafogo RJ, 33, D(C)",  ,8,720.0,1.4,2.9,1.5,0.8,2.4,0.6,0.6,-,7.16,"34Víctor CuestaBotafogo RJ, 33, D(C)",  ,8,720.0,2,1,0.5,0.5,0.4,0.3,-,-,0.8,7.16,"34Víctor CuestaBotafogo RJ, 33, D(C)",  ,8,720.0,1,0.5,48.5,80.2,0.1,1.8,-,7.16,"34Víctor CuestaBotafogo RJ, 33, D(C)",  ,8,720.0,2,1,2,-,0.5,80.2,2.6,-,7.16
"MarlonAmerica MG, 28, D(L)","35MarlonAmerica MG, 28, D(L)",  ,6(1),535.0,1.7,2,1,0.1,1.7,0.9,0.4,-,7.15,"35MarlonAmerica MG, 28, D(L)",  ,6(1),535.0,-,1,1,1,1.3,1,-,0.9,0.9,7.15,"35MarlonAmerica MG, 28, D(L)",  ,6(1),535.0,1,1,33.1,80.2,0.7,1.3,-,7.15,"35MarlonAmerica MG, 28, D(L)",  ,6(1),535.0,-,1,2,-,1,80.2,1.4,2,7.15
"NatanRed Bull Bragantino, 21, D(C)","36NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,1,1.1,0.5,0.4,2.6,0.4,0.3,-,7.14,"36NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,2,1,0.8,0.5,0.8,0.6,0.1,-,0.3,7.14,"36NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,1,0.5,47.4,89.7,-,5.1,-,7.14,"36NatanRed Bull Bragantino, 21, D(C)",  ,8,720.0,2,1,1,-,0.8,89.7,2.3,-,7.14
"GabrielInternacional, 30, DMC","37GabrielInternacional, 30, DMC",  ,9,810.0,4.7,1.6,1.7,-,1.1,1.9,0.4,-,7.14,"37GabrielInternacional, 30, DMC",  ,9,810.0,-,-,0.8,0.6,0.2,0.9,-,0.4,0.3,7.14,"37GabrielInternacional, 30, DMC",  ,9,810.0,-,0.6,60.3,89.5,0.3,3.6,-,7.14,"37GabrielInternacional, 30, DMC",  ,9,810.0,-,-,-,-,0.8,89.5,0.9,-,7.14
"AlemãoInternacional, 24, FW","38AlemãoInternacional, 24, FW",  ,5(4),468.0,0.7,0.1,1.8,-,0.2,0.4,0.1,-,7.14,"38AlemãoInternacional, 24, FW",  ,5(4),468.0,3,3,1.1,0.9,1.8,1.4,0.1,1.6,2.7,7.14,"38AlemãoInternacional, 24, FW",  ,5(4),468.0,3,0.9,12.2,70.9,0.2,0.2,-,7.14,"38AlemãoInternacional, 24, FW",  ,5(4),468.0,3,3,1,-,1.1,70.9,1.4,1,7.14
"MuriloPalmeiras, 25, D(C),DMC","39MuriloPalmeiras, 25, D(C),DMC",  ,10,888.0,1,1.3,1,0.5,3.7,0.8,0.6,-,7.11,"39MuriloPalmeiras, 25, D(C),DMC",  ,10,888.0,-,-,1.1,0.4,0.5,0.3,0.1,-,-,7.11,"39MuriloPalmeiras, 25, D(C),DMC",  ,10,888.0,-,0.4,48.3,89.2,-,3.6,-,7.11,"39MuriloPalmeiras, 25, D(C),DMC",  ,10,888.0,-,-,1,-,1.1,89.2,3.8,-,7.11
"VinaCeara, 31, M(CR),FW","40VinaCeara, 31, M(CR),FW",  ,9,701.0,0.3,0.6,0.6,-,-,0.9,-,-,7.1,"40VinaCeara, 31, M(CR),FW",  ,9,701.0,2,1,1.7,3.2,1,1,0.2,0.9,0.7,7.1,"40VinaCeara, 31, M(CR),FW",  ,9,701.0,1,3.2,31.4,76.7,1.8,1.9,0.1,7.1,"40VinaCeara, 31, M(CR),FW",  ,9,701.0,2,1,2,-,1.7,76.7,0.2,2,7.1
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luiz OtávioCeara, 33, D(C)","41Luiz OtávioCeara, 33, D(C)",  ,5,450.0,2.2,3.4,1,0.4,2.2,1,0.8,-,7.1,"41Luiz OtávioCeara, 33, D(C)",  ,5,450.0,-,-,0.6,0.2,0.4,1,0.2,-,0.4,7.1,"41Luiz OtávioCeara, 33, D(C)",  ,5,450.0,-,0.2,43.8,85.8,-,1.8,-,7.1,"41Luiz OtávioCeara, 33, D(C)",  ,5,450.0,-,-,-,-,0.6,85.8,3.6,-,7.1
"MaiconSantos FC, 33, D(C)","42MaiconSantos FC, 33, D(C)",  ,7,630.0,1.3,1.6,0.4,0.1,4.3,0.7,1.1,-,7.1,"42MaiconSantos FC, 33, D(C)",  ,7,630.0,-,2,0.9,0.7,0.1,0.6,0.1,-,-,7.1,"42MaiconSantos FC, 33, D(C)",  ,7,630.0,2,0.7,41.3,77.9,-,5,-,7.1,"42MaiconSantos FC, 33, D(C)",  ,7,630.0,-,2,-,-,0.9,77.9,2.1,1,7.1
"RubensAtletico MG, 21, D(L)","43RubensAtletico MG, 21, D(L)",  ,4(4),487.0,3.9,1.1,0.6,0.1,1.4,0.5,0.1,-,7.1,"43RubensAtletico MG, 21, D(L)",  ,4(4),487.0,1,-,1.4,0.3,1.1,1.4,-,0.6,1.5,7.1,"43RubensAtletico MG, 21, D(L)",  ,4(4),487.0,-,0.3,23.5,80.3,0.4,0.5,-,7.1,"43RubensAtletico MG, 21, D(L)",  ,4(4),487.0,1,-,-,-,1.4,80.3,0.6,2,7.1
"Yago PikachuFortaleza, 30, D(R),M(CLR)","44Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,720.0,0.8,0.4,0.8,-,0.8,0.8,0.1,-,7.09,"44Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,720.0,3,-,2.6,2.1,1.1,2.8,0.1,1,0.9,7.09,"44Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,720.0,-,2.1,35.9,82.2,1.1,2.5,-,7.09,"44Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,720.0,3,-,3,-,2.6,82.2,0.3,1,7.09
"Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)","45Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(1),694.0,1.7,1.1,1.2,-,0.6,1.2,0.2,-,7.09,"45Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(1),694.0,1,-,1.7,1.4,1.1,2.1,0.2,0.9,1,7.09,"45Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(1),694.0,-,1.4,34.6,83.6,0.4,1.2,0.1,7.09,"45Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(1),694.0,1,-,-,-,1.7,83.6,1.8,1,7.09
"Marcos LeonardoSantos FC, 19, FW","46Marcos LeonardoSantos FC, 19, FW",  ,10,826.0,0.1,0.1,1.2,-,0.9,0.7,0.1,-,7.08,"46Marcos LeonardoSantos FC, 19, FW",  ,10,826.0,4,2,3.3,1,1.1,2.8,0.6,1,2.1,7.08,"46Marcos LeonardoSantos FC, 19, FW",  ,10,826.0,2,1,9.9,75.8,0.1,0.2,-,7.08,"46Marcos LeonardoSantos FC, 19, FW",  ,10,826.0,4,2,1,-,3.3,75.8,0.6,-,7.08
"Marlon FreitasAtletico GO, 27, DMC","47Marlon FreitasAtletico GO, 27, DMC",  ,11,990.0,2.3,0.8,0.8,-,0.8,1.1,0.5,-,7.07,"47Marlon FreitasAtletico GO, 27, DMC",  ,11,990.0,3,2,1.5,1.5,0.5,0.2,0.2,0.3,0.8,7.07,"47Marlon FreitasAtletico GO, 27, DMC",  ,11,990.0,2,1.5,67.1,85.0,0.4,8.8,0.1,7.07,"47Marlon FreitasAtletico GO, 27, DMC",  ,11,990.0,3,2,1,-,1.5,85.0,0.6,1,7.07
"Rodrigo MoledoInternacional, 34, D(C)","48Rodrigo MoledoInternacional, 34, D(C)",  ,5(1),363.0,2.2,2,0.5,0.7,3.5,-,0.7,-,7.07,"48Rodrigo MoledoInternacional, 34, D(C)",  ,5(1),363.0,-,-,1.3,-,0.2,0.8,-,-,0.5,7.07,"48Rodrigo MoledoInternacional, 34, D(C)",  ,5(1),363.0,-,-,29.7,89.3,-,0.5,-,7.07,"48Rodrigo MoledoInternacional, 34, D(C)",  ,5(1),363.0,-,-,1,-,1.3,89.3,2,1,7.07
